"Местное время в Рязани";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"18.05.2025 18:00";"12.4";"741.3";"755.3";"-1.3";"98";"Ветер, дующий с востока";"2";"";"";"100%.";"Морось (незамерзающая) или снежные зерна неливневые. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"20.1";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"4.0";"12.1";"1.0";"12";"";"";"";"";
"18.05.2025 15:00";"12.4";"742.6";"756.7";"-0.7";"91";"Ветер, дующий с юго-востока";"3";"";"12";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"4.0";"11.0";"";"";"";"";"";"";
"18.05.2025 12:00";"17.9";"743.3";"757.1";"-0.8";"42";"Ветер, дующий с юго-юго-востока";"3";"";"13";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"4.8";"";"";"";"";"";"";
"18.05.2025 09:00";"17.5";"744.1";"757.9";"-1.1";"48";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"6.4";"";"";"";"";"";"";
"18.05.2025 06:00";"15.8";"745.2";"759.1";"-0.9";"50";"Ветер, дующий с востоко-юго-востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"13.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"5.4";"Следы осадков";"12";"Поверхность почвы влажная.";"13.0";"";"";
"18.05.2025 03:00";"16.1";"746.1";"760.0";"-0.7";"50";"Ветер, дующий с востока";"1";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"10.0";"5.5";"";"";"";"";"";"";
"18.05.2025 00:00";"16.3";"746.8";"760.7";"-0.8";"50";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"5.9";"";"";"";"";"";"";
"17.05.2025 21:00";"15.9";"747.6";"761.5";"-0.2";"54";"Ветер, дующий с востока";"1";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"6.5";"";"";"";"";"";"";
"17.05.2025 18:00";"20.5";"747.8";"761.5";"-0.8";"42";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"22.4";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"Высокослоистые просвечивающие.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.1";"Следы осадков";"12";"";"";"";"";
"17.05.2025 15:00";"22.0";"748.6";"762.3";"-1.5";"33";"Ветер, дующий с юго-востока";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"600-1000";"Высокослоистые просвечивающие.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"5.1";"";"";"";"";"";"";
"17.05.2025 12:00";"18.7";"750.1";"764.0";"-0.1";"48";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"7.3";"";"";"";"";"";"";
"17.05.2025 09:00";"18.6";"750.2";"764.1";"0.0";"45";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"6.3";"";"";"";"";"";"";
"17.05.2025 06:00";"12.8";"750.2";"764.3";"0.0";"56";"Ветер, дующий с юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"8.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"10.0";"4.2";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"6.0";"";"";
